No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time
1,180,30,Footstep,Generic,5,-179.1,-1.849999,13.93744
2,150,30,Footstep,DL_Based,1,151.55,-2.299997,6.962475
3,30,0,Footstep,3D_Based,5,24.2,-1.699993,7.362425
4,90,0,Footstep,3D_Based,2,87.05,-1.999993,3.509123
5,0,0,Footstep,3D_Based,4,0.1000003,-0.9999931,4.081036
6,150,0,Footstep,3D_Based,3,148.15,-3.249987,6.268654
7,180,30,PinkNoise,Generic,5,179.55,0.05001831,11.83287
8,90,0,Footstep,Generic,4,90.49998,-0.09999248,4.772602
9,30,0,PinkNoise,DL_Based,3,-22.05005,-1.399992,7.390175
10,120,30,Footstep,3D_Based,3,113.5999,0.3000183,7.8843
11,0,30,Footstep,3D_Based,2,-3.100067,-0.3499915,9.151489
12,150,0,PinkNoise,DL_Based,4,159.7499,-1.499992,7.921204
13,60,0,Footstep,3D_Based,3,-64.25009,-1.349992,5.06765
14,120,30,Footstep,Generic,1,130.2999,-0.1999919,6.310539
15,120,0,Footstep,DL_Based,4,135.5499,-3.149995,7.697449
16,90,0,Footstep,DL_Based,3,96.34995,-1.049997,9.04287
17,60,30,PinkNoise,DL_Based,1,-47.15005,-0.2999961,6.092949
18,0,0,PinkNoise,DL_Based,3,18.49996,-0.5999967,7.177345
19,180,30,PinkNoise,DL_Based,2,-168.8,-0.7999976,4.578156
20,180,30,PinkNoise,Generic,4,-178.7501,0.25,9.870483
21,120,30,Footstep,3D_Based,4,120.6499,-0.5000029,4.547592
22,90,0,PinkNoise,DL_Based,5,98.29993,-0.2000019,4.199951
23,0,30,PinkNoise,Generic,3,8.399954,0.5,5.140884
24,180,30,Footstep,DL_Based,2,-177,11.39999,15.10713
25,120,30,Footstep,3D_Based,2,-135.3,-0.8000033,8.325867
26,120,30,PinkNoise,3D_Based,1,116,25.54999,12.65881
27,90,0,Footstep,DL_Based,2,94.74997,0.3999939,7.493027
28,180,0,Footstep,3D_Based,2,179.7,2,9.878616
29,0,30,Footstep,DL_Based,3,4.199919,0.2499695,14.91832
30,180,0,PinkNoise,3D_Based,1,-176.9501,0.3499756,7.886887
31,0,30,Footstep,DL_Based,5,18.44991,0.6499634,9.413544
32,150,30,PinkNoise,Generic,3,-149.8501,-0.3500394,31.66641
33,90,0,Footstep,3D_Based,4,-87.85004,1.499969,6.846222
34,90,30,Footstep,Generic,3,-90.44998,-0.5500445,10.71976
35,0,0,Footstep,Generic,5,-4.949982,-0.6000461,4.648163
36,180,0,PinkNoise,3D_Based,5,179.7,14.14996,10.73035
37,30,30,PinkNoise,3D_Based,3,-33.34995,31.74997,6.990967
38,90,0,Footstep,Generic,5,-90.74994,3.399963,6.351654
39,180,30,PinkNoise,DL_Based,4,179.9501,0.04995728,12.34753
40,60,0,Footstep,DL_Based,5,-45.09991,-0.1000664,9.245941
