No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,30,30,PinkNoise,Generic,2,329.15,-89.00025,13.02512,1
2,180,30,Footstep,Generic,3,189.45,-336.45,9.21656,1
3,0,30,PinkNoise,Generic,1,332.8,-358.8,17.06027,1
4,180,0,PinkNoise,Generic,4,358,-338.25,14.59239,1
5,180,30,PinkNoise,3D_Based,3,180.15,-338,12.25812,1
6,90,0,PinkNoise,DL_Based,1,87.85004,-336.5,16.97992,0
7,120,0,PinkNoise,Generic,3,236.15,-337.85,13.88545,1
8,0,30,Footstep,Generic,3,1.900006,-357.05,8.389862,1
9,150,0,PinkNoise,3D_Based,3,30.8,-335.85,9.670425,1
10,150,30,PinkNoise,Generic,1,328.55,-339.2,8.508957,0
11,30,30,Footstep,Generic,3,329.9001,-358.0001,23.79692,1
12,0,30,PinkNoise,DL_Based,4,347.2,-317.6,11.47018,1
13,90,0,Footstep,DL_Based,3,90.04995,-359.2,10.32501,0
14,90,30,Footstep,DL_Based,3,239.6499,-359,10.69748,1
15,90,30,Footstep,3D_Based,1,262,-1.250001,14.52563,1
16,120,30,Footstep,DL_Based,4,277.1001,-315.55,23.51495,0
17,90,30,Footstep,Generic,2,76.85003,-356.85,13.69931,0
18,60,30,Footstep,Generic,1,284.2,-0.3499966,11.4707,1
19,60,30,PinkNoise,DL_Based,4,301.25,-2.350013,14.88638,1
20,150,0,Footstep,3D_Based,2,320.45,-358.95,7.589691,0
21,30,0,Footstep,DL_Based,1,334.35,-357.9,8.470001,1
22,0,0,PinkNoise,DL_Based,2,357.55,-359.3,12.67056,1
23,120,30,PinkNoise,Generic,2,128.95,-0.4500088,11.45877,0
24,150,30,Footstep,Generic,3,217.65,-356.5,12.80496,1
25,150,0,Footstep,Generic,4,318.2,-1.200001,8.003052,0
26,0,30,PinkNoise,DL_Based,1,340.65,-359,5.974792,0
27,60,30,Footstep,3D_Based,3,289.45,-357,8.097198,1
28,150,0,Footstep,Generic,2,329.0501,-1.650001,12.21786,0
29,150,30,PinkNoise,Generic,2,343.35,-338.35,11.0314,0
30,30,30,PinkNoise,3D_Based,4,17.99993,-1.650007,12.6983,0
31,150,30,PinkNoise,3D_Based,4,211.2,-4.799988,12.69797,1
32,60,0,PinkNoise,DL_Based,3,56.30005,-339.45,10.31003,0
33,30,0,Footstep,DL_Based,2,313.3,-357.7,6.576813,1
34,120,30,Footstep,Generic,3,237.35,-359.4,10.95096,1
35,30,30,PinkNoise,3D_Based,2,330.75,-359.55,11.61761,1
36,90,0,Footstep,Generic,2,276.85,-338.45,7.576477,1
37,180,0,PinkNoise,DL_Based,1,174.2,-337.9,12.75171,1
38,180,30,Footstep,Generic,2,356.5,-353.95,6.855896,1
39,150,0,Footstep,3D_Based,4,197.15,-357,8.33667,1
40,30,0,PinkNoise,DL_Based,1,31.19996,-356.55,10.11053,0
41,150,0,PinkNoise,DL_Based,3,22.30003,-317.9,15.12592,1
42,60,0,Footstep,3D_Based,3,287.05,-1.600018,16.17902,1
43,30,30,Footstep,3D_Based,3,31.3,-358.9,6.602295,0
44,0,0,Footstep,DL_Based,4,356.05,-2.550008,6.323364,0
45,90,30,PinkNoise,3D_Based,2,85.80005,-338.1,6.98938,0
46,180,30,Footstep,Generic,4,192.8,-2.749999,14.99243,0
47,90,30,PinkNoise,DL_Based,3,85.89996,-338.7,19.60767,0
48,30,0,PinkNoise,Generic,2,332.1,-356.15,6.482361,1
49,60,0,PinkNoise,3D_Based,1,295,-0.9500003,5.682373,1
50,180,30,PinkNoise,3D_Based,4,352.7,-0.25,9.602966,1
51,120,30,PinkNoise,Generic,4,238.15,-357.3,8.710815,1
