No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,90,0,Footstep,3D_Based,3,91.25001,-4.349989,9.210373,1
2,180,30,PinkNoise,Generic,1,191.6,-339.1,7.761917,1
3,120,30,PinkNoise,Generic,1,128.1,-329,8.457169,0
4,150,30,Footstep,DL_Based,4,149.35,-326.3,8.962921,0
5,150,0,PinkNoise,DL_Based,4,153.8,-331.7,5.895645,0
6,0,0,Footstep,DL_Based,4,11.65,-6.949998,16.22063,0
7,120,30,PinkNoise,3D_Based,4,235.5,-344.8,6.37532,1
8,120,0,Footstep,3D_Based,4,111.3501,-356.3,10.28444,0
9,60,30,PinkNoise,DL_Based,4,59.05003,-338.65,9.657104,0
10,0,30,PinkNoise,Generic,1,359.95,-352.25,3.040985,0
11,150,30,PinkNoise,3D_Based,4,208.9,-334.55,12.73785,1
12,180,30,Footstep,DL_Based,2,184.4,-330.4,22.32935,1
13,120,0,PinkNoise,DL_Based,3,120.85,-330.45,5.215424,0
14,150,30,PinkNoise,Generic,4,225.35,-355.95,8.336517,1
15,30,0,PinkNoise,DL_Based,2,332.85,-354.2,6.735931,1
16,120,30,Footstep,DL_Based,1,247,-343.5,7.629639,1
17,0,0,PinkNoise,Generic,4,10.25001,-9.650018,9.016846,1
18,30,0,PinkNoise,Generic,4,40.85,-2.949996,6.575897,0
19,30,30,PinkNoise,Generic,4,31.55,-337.4,7.736206,0
20,60,30,PinkNoise,Generic,3,63.54999,-333.15,4.240784,0
21,180,30,PinkNoise,3D_Based,1,4.550001,-354.35,6.270142,0
22,150,30,PinkNoise,Generic,1,219.85,-328.9,6.562531,1
23,90,0,PinkNoise,Generic,1,267.75,-343.5,5.494965,1
24,60,0,Footstep,DL_Based,1,70.70001,-345.2,7.563477,0
25,150,30,PinkNoise,Generic,2,161.75,-334.65,11.89078,0
26,120,0,Footstep,3D_Based,2,244.25,-334.6,12.65115,1
27,60,0,Footstep,3D_Based,4,288.55,-335,6.27005,1
28,0,0,Footstep,Generic,2,1.000003,-356,9.39032,1
29,120,0,PinkNoise,DL_Based,2,123.35,-352.9,10.97757,0
30,150,30,Footstep,DL_Based,2,147.4,-330.65,8.363129,0
31,90,0,Footstep,DL_Based,2,268.1,-341.75,6.816101,1
32,60,30,PinkNoise,Generic,2,310.4001,-328.25,11.1373,1
33,180,30,Footstep,Generic,4,193.5,-346.65,12.45856,1
34,150,30,Footstep,DL_Based,3,157.75,-332.45,6.936066,0
35,180,0,Footstep,Generic,1,183.7,-345.35,13.81775,0
36,180,30,Footstep,3D_Based,4,11.9,-3.650014,13.33942,0
37,60,0,PinkNoise,DL_Based,4,302.5001,-354,17.20578,1
38,150,0,Footstep,3D_Based,2,211.2,-332.65,6.510132,1
39,90,30,Footstep,3D_Based,4,90.15003,-5.100012,12.59167,0
40,0,0,Footstep,3D_Based,1,4.499998,-8.300014,6.842285,0
41,60,0,PinkNoise,DL_Based,3,304.15,-345.95,10.75116,1
42,120,0,Footstep,Generic,3,234.65,-344.7,6.442444,1
43,150,30,Footstep,3D_Based,3,211.25,-354.65,6.989441,1
44,150,0,PinkNoise,3D_Based,1,162.75,-335,13.71204,0
45,0,0,PinkNoise,3D_Based,3,1.75,-355.35,3.601379,0
46,150,0,Footstep,DL_Based,1,148.6,-345.35,13.60522,0
47,180,30,PinkNoise,3D_Based,4,8.79999,-326,14.56573,0
48,150,0,Footstep,DL_Based,4,151.15,-345.05,6.949341,0
49,90,0,Footstep,3D_Based,1,92.64996,-345.45,15.27264,0
50,0,30,Footstep,Generic,1,24.60001,-347.7,15.47174,0
51,60,0,PinkNoise,3D_Based,3,64.55,-353.75,9.804749,0
52,0,30,Footstep,Generic,3,5.049995,-351.3,16.12634,0
53,0,0,PinkNoise,DL_Based,4,3.500008,-347.65,9.096802,0
54,30,30,Footstep,DL_Based,3,323.3,-351.35,8.136414,1
55,30,30,Footstep,DL_Based,2,337.05,-352.75,6.415161,1
56,60,0,PinkNoise,3D_Based,1,297.2,-356.3,9.736877,1
57,180,0,PinkNoise,DL_Based,4,359.45,-354.35,6.550232,1
58,0,30,Footstep,3D_Based,1,351.25,-336.8,6.895996,1
59,60,30,PinkNoise,DL_Based,1,62.55001,-357.4,7.749634,0
60,180,30,PinkNoise,DL_Based,4,2.899999,-339.05,7.90979,0
61,90,30,PinkNoise,DL_Based,3,103,-346.55,4.707458,0
62,150,0,PinkNoise,Generic,2,28.40002,-352.15,9.296997,1
63,30,0,Footstep,3D_Based,3,34.50001,-338.95,10.9115,0
64,120,30,PinkNoise,3D_Based,3,122.1,-351.9,8.17688,0
65,180,0,PinkNoise,3D_Based,3,0.1000002,-359.5,3.294617,0
66,120,0,PinkNoise,3D_Based,1,115.85,-345.9,9.737122,0
67,150,30,Footstep,Generic,3,165.3,-339.7,6.802612,0
68,30,0,PinkNoise,Generic,3,333.95,-344.4,5.308777,1
69,180,30,Footstep,3D_Based,2,350.55,-340.2,6.189087,1
70,0,0,Footstep,3D_Based,3,357.4,-340.45,6.282043,1
71,60,0,Footstep,DL_Based,2,69.65003,-354.7,6.13562,0
72,150,0,PinkNoise,3D_Based,3,52.04999,-3.050006,4.33551,1
73,30,30,PinkNoise,DL_Based,4,331.35,-340.75,9.697144,1
74,120,30,PinkNoise,3D_Based,1,236.2,-337.75,5.708801,1
75,120,0,PinkNoise,Generic,3,131.1,-338.65,5.975708,0
76,60,0,PinkNoise,Generic,2,309.45,-338.65,6.936035,1
77,180,0,PinkNoise,3D_Based,2,181.15,-339.95,8.763367,1
78,0,30,Footstep,DL_Based,2,359,-340.4,7.295166,1
79,150,30,PinkNoise,3D_Based,2,152.6,-356.8,13.95313,0
80,30,30,Footstep,3D_Based,1,335,-341.25,6.469238,1
81,60,0,PinkNoise,DL_Based,2,307.15,-352.85,9.67041,1
82,150,30,Footstep,3D_Based,4,161.4,-352.4,14.13879,0
83,30,30,Footstep,Generic,1,45.29998,-4.449993,11.77795,0
84,90,0,Footstep,3D_Based,2,92.65,-339.3,4.935242,0
85,150,30,Footstep,DL_Based,1,27.30001,-90,5.602295,1
86,90,30,Footstep,3D_Based,1,266.9501,-329.2,7.963074,1
87,180,0,PinkNoise,Generic,4,352.25,-337.25,4.361694,1
88,90,0,Footstep,Generic,2,85.14999,-334,6.268127,0
89,180,30,Footstep,3D_Based,3,10.90001,-340.05,12.29907,0
90,150,0,Footstep,3D_Based,3,203.4,-325.3,7.109436,1
91,180,0,Footstep,DL_Based,3,3.899997,-344.05,18.26099,1
92,120,30,Footstep,Generic,4,240.75,-337.3,6.869324,1
93,180,0,PinkNoise,DL_Based,3,183,-355.25,15.80609,1
94,0,30,PinkNoise,Generic,3,1.900001,-354.8,4.815308,1
95,90,0,Footstep,Generic,3,282.15,-341.8,4.374878,1
96,0,30,PinkNoise,DL_Based,2,355.4,-339.85,8.082275,1
97,180,0,PinkNoise,Generic,3,184.55,-339.3,12.43237,1
98,180,0,PinkNoise,DL_Based,2,339.9,-340.9,12.4707,1
99,150,0,Footstep,DL_Based,2,158.5,-336.35,11.49878,0
100,0,30,PinkNoise,Generic,2,5.599999,-324.8,5.708862,0
101,150,30,PinkNoise,DL_Based,2,197.25,-325.2,8.589966,1
102,90,30,Footstep,DL_Based,1,264.25,-325.7,6.402466,1
103,30,0,Footstep,DL_Based,4,333.45,-7.550019,9.483643,1
104,60,30,Footstep,3D_Based,3,312.8,-8.55001,11.55127,1
105,150,30,Footstep,Generic,2,204.9,-340.25,7.616333,1
106,120,30,Footstep,Generic,1,138.2,-339.05,6.175293,0
107,30,30,PinkNoise,DL_Based,3,26.55005,-330.65,8.176147,0
108,60,30,PinkNoise,DL_Based,3,311.7,-327,11.93848,1
109,90,0,PinkNoise,DL_Based,1,268.9,-339.75,9.163818,1
110,30,30,PinkNoise,3D_Based,2,325.45,-338.6,17.81934,1
111,0,0,PinkNoise,3D_Based,1,358.05,-340.65,7.763916,1
112,60,0,PinkNoise,Generic,4,320.05,-332.0501,17.80688,1
113,180,0,Footstep,DL_Based,4,189.4,-340.2,12.31152,1
114,120,30,Footstep,Generic,2,131.35,-324.4001,20.74133,0
