No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,30,30,Footstep,Generic,1,42.29998,-336.1,4.754837,0
2,150,30,PinkNoise,Generic,3,155.6,-327.3,8.043564,0
3,0,0,PinkNoise,3D_Based,4,5.899993,-351.9,5.708893,0
4,30,30,Footstep,Generic,3,335.55,-329.8,4.948639,1
5,180,0,PinkNoise,Generic,1,190.7,-344.65,12.05798,1
6,60,0,PinkNoise,DL_Based,2,299.15,-341.1,8.96347,1
7,120,0,PinkNoise,Generic,1,246.2,-358.9,6.57489,1
8,180,0,PinkNoise,3D_Based,2,176.05,-342.35,8.230865,1
9,30,0,Footstep,3D_Based,3,34.95,-352.15,4.788055,0
10,30,30,Footstep,3D_Based,4,31.2,-319.6,6.229553,0
11,180,30,PinkNoise,Generic,4,194.9,-321.9999,10.27069,0
12,90,30,Footstep,3D_Based,2,92.05004,-331.45,6.976013,0
13,0,0,PinkNoise,DL_Based,3,359.5,-353.35,3.668121,0
14,90,0,Footstep,3D_Based,2,86.95002,-347.3,5.548798,0
15,150,30,Footstep,DL_Based,4,153.85,-341.65,7.496277,0
16,180,30,Footstep,DL_Based,1,359.65,-359.3,2.12085,0
17,0,30,PinkNoise,DL_Based,2,0.5999984,-332.05,4.161194,0
18,60,30,PinkNoise,3D_Based,2,302,-336.95,4.361237,1
19,30,0,Footstep,DL_Based,2,30.59999,-359.65,5.389618,0
20,90,0,PinkNoise,Generic,2,272.1,-338.25,7.402832,1
21,120,0,PinkNoise,3D_Based,3,112.7,-1.5,4.988617,0
22,150,0,PinkNoise,3D_Based,4,142.2,-339,11.27106,0
23,0,30,PinkNoise,DL_Based,4,359.05,-337.05,3.681458,0
24,30,0,PinkNoise,Generic,4,16.29999,-358.55,5.228699,0
25,60,0,Footstep,3D_Based,3,58.39997,-339.95,6.682617,0
26,180,30,PinkNoise,DL_Based,4,185.05,-316.15,11.44443,0
27,180,0,Footstep,DL_Based,2,176.65,-358.5,9.922852,0
28,30,30,PinkNoise,3D_Based,2,331.5,-316.9,7.830261,1
29,30,0,PinkNoise,3D_Based,3,21.29999,-351.5,6.869812,0
30,0,0,PinkNoise,Generic,1,3.8,-4.000006,3.200928,0
31,90,0,Footstep,Generic,3,271.5,-326.8,18.37982,1
32,180,0,Footstep,DL_Based,3,189.3,-334.7,15.88712,1
33,30,30,Footstep,Generic,4,341.3,-340.3,5.041992,1
34,90,30,PinkNoise,3D_Based,4,272.65,-341.95,3.654724,1
35,150,30,PinkNoise,DL_Based,4,147.1,-0.6500004,3.613861,0
36,30,0,Footstep,3D_Based,1,331.15,-359.9,5.936523,1
37,60,30,Footstep,3D_Based,1,58.14998,-339.65,5.147675,0
38,120,0,PinkNoise,DL_Based,1,120.45,-338.6,9.403717,0
39,150,0,Footstep,3D_Based,1,158.15,-338.4,7.710632,0
40,150,30,PinkNoise,Generic,4,225.8,-334.25,6.455811,1
41,90,30,PinkNoise,3D_Based,2,274.2,-335.7,5.362061,1
42,30,0,PinkNoise,DL_Based,4,37.49999,-341.85,4.428467,0
43,60,30,PinkNoise,Generic,2,311.35,-353.1,3.427551,1
44,0,30,Footstep,3D_Based,1,10.05,-341.75,5.936035,1
45,180,0,Footstep,Generic,2,194.8,-345,12.05804,1
46,120,0,Footstep,DL_Based,3,124.85,-1.200001,4.148315,0
47,0,30,Footstep,DL_Based,1,359.4,-312.15,4.681763,0
48,180,0,Footstep,DL_Based,4,174.45,-342.05,7.856018,0
49,0,0,PinkNoise,3D_Based,1,355.2,-0.3999997,5.429199,0
50,180,30,Footstep,3D_Based,4,182.05,-353.45,13.11176,0
51,90,0,Footstep,Generic,1,277.85,-347.4,8.910095,1
52,150,30,PinkNoise,3D_Based,2,216.6,-341.95,6.135742,1
53,180,30,PinkNoise,DL_Based,3,190,-341.55,7.136108,1
54,150,30,Footstep,Generic,4,213.2,-341.35,5.908936,1
55,60,30,Footstep,Generic,3,308.4,-334.3,4.255005,1
56,60,0,PinkNoise,3D_Based,4,71.95001,-354.4,7.97644,0
57,30,30,Footstep,DL_Based,2,328.05,-358.9,3.70813,1
58,180,30,PinkNoise,3D_Based,3,341.6,-338,11.21704,1
59,120,0,Footstep,3D_Based,4,127.35,-356.9,3.495361,0
60,0,0,Footstep,3D_Based,4,4.900003,-357.55,3.321228,0
61,0,30,PinkNoise,3D_Based,3,356.5,-343.75,3.841553,0
62,60,0,PinkNoise,Generic,3,72.64999,-314.2,13.79199,0
63,120,0,Footstep,DL_Based,1,113.4,-0.8000004,3.81488,0
64,30,30,Footstep,3D_Based,3,331.05,-339.85,3.307922,1
65,60,0,Footstep,Generic,2,52.85002,-2.800004,4.935242,0
66,180,30,Footstep,Generic,2,355.2,-0.6999997,2.561035,0
67,120,30,PinkNoise,3D_Based,1,241.95,-352.25,3.014404,1
68,60,0,Footstep,3D_Based,4,306.1,-357.7,2.814514,1
69,0,30,Footstep,Generic,1,5.200006,-347.5,3.708069,1
70,180,30,PinkNoise,3D_Based,4,194.15,-332.85,5.682251,1
71,30,0,Footstep,DL_Based,3,31.30001,-356.35,4.241638,0
72,150,0,PinkNoise,3D_Based,3,207.75,-355.7,5.068604,1
73,90,0,Footstep,3D_Based,3,270.35,-1.75,3.134583,1
74,120,30,PinkNoise,DL_Based,2,239.85,-1.6,5.375427,1
75,0,30,Footstep,Generic,2,10.7,-343.8,5.388733,1
76,180,0,PinkNoise,3D_Based,3,187,-4.750002,5.682251,1
77,90,0,PinkNoise,DL_Based,1,83.24998,-8.300001,4.655151,0
78,120,0,Footstep,DL_Based,2,243.8,-342.25,3.801392,1
79,30,30,Footstep,3D_Based,2,32.7,-359.3,2.734497,0
80,150,0,PinkNoise,3D_Based,1,210.65,-0.5500003,4.681763,1
81,0,0,PinkNoise,DL_Based,4,3.600001,-0.8000003,2.734436,1
82,90,30,PinkNoise,Generic,2,288.45,-356.8,3.547607,1
83,180,30,PinkNoise,3D_Based,2,184.55,-347.65,5.548279,1
84,150,30,Footstep,3D_Based,2,210.45,-355.7,4.122559,1
85,0,0,Footstep,3D_Based,3,169.05,-338.3,9.483643,1
86,150,0,Footstep,Generic,4,215.9001,-5.100004,13.31134,1
87,150,0,Footstep,Generic,1,154.6,-0.4499947,7.522461,0
88,60,0,PinkNoise,3D_Based,3,308.95,-2.45,3.708191,1
89,150,0,Footstep,DL_Based,2,148.95,-345.35,13.65955,0
90,150,0,Footstep,3D_Based,2,214,-5.550003,4.681824,1
91,180,30,PinkNoise,Generic,1,191.6,-340.2,17.24664,1
92,90,30,Footstep,Generic,2,98.40001,-0.9,4.29425,0
93,150,30,Footstep,3D_Based,1,153.05,-337.5,10.73828,0
94,150,30,PinkNoise,DL_Based,2,209.7,-2.300004,6.162415,1
95,30,30,Footstep,3D_Based,1,30.19999,-339.05,3.921509,0
96,60,0,PinkNoise,3D_Based,2,58.7,-356.4,3.360413,0
97,60,30,Footstep,3D_Based,4,61.55002,-338.5,6.136658,0
98,90,0,PinkNoise,Generic,4,258.6,-340.8,8.163147,0
99,90,30,PinkNoise,3D_Based,3,268.75,-315.85,6.215759,1
100,60,0,Footstep,Generic,3,56.85004,-344.75,4.041504,0
101,30,30,Footstep,DL_Based,3,29.95001,-354.95,6.735962,0
102,90,30,PinkNoise,Generic,3,292.3501,-336.7,4.028259,1
103,180,0,Footstep,DL_Based,1,5.899999,-0.2000051,4.013977,1
104,150,30,PinkNoise,DL_Based,1,24.75,-339.25,14.9801,1
105,90,0,Footstep,DL_Based,2,270.8,-315.5,7.309509,1
106,0,30,PinkNoise,DL_Based,1,359.35,-355.95,2.627625,1
107,120,0,PinkNoise,DL_Based,4,241,-2.350007,6.482178,1
108,30,0,Footstep,DL_Based,1,33.39998,-358.1,5.162354,0
109,60,0,Footstep,DL_Based,1,302.05,-351.2,3.694092,1
110,30,0,Footstep,3D_Based,4,28.64999,-356,4.028931,0
111,60,30,PinkNoise,DL_Based,1,66.95002,-356.4,3.227966,0
112,90,0,Footstep,Generic,4,103.3501,-351.8,20.68707,0
113,180,0,Footstep,3D_Based,2,356.5,-0.3000003,4.335999,0
114,150,0,Footstep,DL_Based,4,219.55,-344.95,5.348694,1
115,60,0,Footstep,DL_Based,3,67.25002,-339.3,3.70813,0
116,120,0,Footstep,Generic,2,245.95,-11.55,5.175354,1
117,0,30,PinkNoise,Generic,4,7.650004,-322.6,6.482483,1
118,30,0,PinkNoise,3D_Based,4,31.45,-357.45,3.788147,0
119,180,30,Footstep,3D_Based,2,193.45,-329.05,11.09766,0
120,0,0,Footstep,DL_Based,4,2.299998,-5.15,3.280334,0
121,180,30,Footstep,3D_Based,1,185.35,-334.45,7.390503,0
122,90,30,PinkNoise,DL_Based,3,94.04998,-342.15,4.121094,0
123,120,0,PinkNoise,3D_Based,4,235.1,-357.65,13.9126,1
124,180,30,Footstep,Generic,3,195.45,-340.95,5.428711,1
125,150,30,Footstep,3D_Based,4,216.5,-338.8,4.761963,1
126,60,30,PinkNoise,Generic,1,75.30002,-338.65,3.201172,0
127,120,30,Footstep,3D_Based,3,248,-339.65,5.282104,1
128,60,0,PinkNoise,Generic,1,306.2,-4.950004,3.401245,1
129,90,30,PinkNoise,Generic,4,286.5,-334.15,3.721436,1
130,0,30,PinkNoise,Generic,3,15.15001,-335.5,4.735229,1
131,90,30,Footstep,3D_Based,1,288.4,-5.149997,4.681763,1
132,150,0,PinkNoise,DL_Based,3,32.04996,-308.9,18.80701,1
133,90,0,PinkNoise,3D_Based,3,102.55,-345,3.908447,0
134,0,30,Footstep,3D_Based,4,4.349995,-333.75,4.601929,0
135,30,0,PinkNoise,Generic,1,27.39997,-325.35,14.35229,0
136,60,30,PinkNoise,3D_Based,3,76.7,-353.65,2.240845,0
137,0,30,PinkNoise,3D_Based,2,4.4,-335.45,2.306519,0
138,120,30,Footstep,Generic,1,256.55,-350.65,4.055908,1
139,0,0,Footstep,3D_Based,1,351.35,-0.3999993,3.28125,1
140,150,30,Footstep,DL_Based,1,164.7,-336.6,10.68372,0
141,150,0,PinkNoise,Generic,2,169.5,-5.500001,4.295532,0
142,90,0,PinkNoise,3D_Based,1,93.09997,-0.3500002,3.721313,0
143,180,30,PinkNoise,DL_Based,2,186.6,-336.6,5.308838,0
144,60,30,Footstep,Generic,4,66.10003,-356.35,3.10791,0
145,180,0,PinkNoise,Generic,3,172.9,-357.15,3.654785,0
146,120,0,PinkNoise,Generic,4,255.1501,-357.2,3.347778,1
147,0,30,PinkNoise,Generic,1,6.650008,-335.4,3.747314,1
148,120,0,Footstep,DL_Based,4,119.1,-341,5.562866,0
149,30,0,Footstep,Generic,3,32.49999,-359.8,3.067993,0
150,180,30,PinkNoise,DL_Based,1,184.7,-313.1499,6.362549,0
151,60,0,PinkNoise,3D_Based,1,305.2,-349.25,3.760498,1
152,30,30,PinkNoise,Generic,4,340.3,-335.85,6.696899,1
153,120,30,Footstep,Generic,3,259.3499,-341.95,6.722656,1
154,60,30,Footstep,Generic,1,315.45,-339.95,4.547485,1
155,150,30,Footstep,DL_Based,2,161.05,-341.75,3.762329,0
156,90,30,PinkNoise,3D_Based,1,85.44998,-338.4,2.734497,0
157,90,30,PinkNoise,DL_Based,2,269.65,-337.9,2.747681,1
158,180,30,Footstep,DL_Based,2,171.15,-340.2,5.508423,1
159,60,0,PinkNoise,Generic,4,293.3,-339.4,11.69824,1
160,90,30,Footstep,Generic,3,102.2,-336.75,3.267944,0
161,0,0,Footstep,DL_Based,3,355.5,-335.35,8.08313,0
162,120,30,PinkNoise,DL_Based,3,248.05,-358,3.801514,1
163,120,30,PinkNoise,Generic,3,253,-342.8,4.988525,1
164,0,0,PinkNoise,Generic,2,9.699997,-1.849993,4.867798,1
165,30,30,PinkNoise,DL_Based,4,326.65,-339.4,4.589233,1
166,60,30,PinkNoise,DL_Based,2,50.74998,-357.7,3.014526,0
167,90,0,PinkNoise,Generic,3,279.05,-359.6,2.440308,1
168,0,30,Footstep,DL_Based,3,2.5,-342.45,3.241577,1
169,0,0,Footstep,DL_Based,1,10.65,-0.0499993,4.281616,1
170,30,0,PinkNoise,Generic,3,31.40001,-2.050001,1.759766,0
171,60,30,PinkNoise,DL_Based,3,52.85,-356.05,2.241821,0
172,0,0,Footstep,DL_Based,2,0.1000002,-3.200001,2.080933,0
173,120,30,PinkNoise,DL_Based,4,120.65,-354,3.227783,0
174,150,0,Footstep,3D_Based,4,156.2,-6.449998,4.014282,0
175,120,30,Footstep,DL_Based,3,238.1,-335.8,3.14856,1
176,90,0,Footstep,Generic,2,341.45,-4.250001,11.44446,0
177,30,0,PinkNoise,3D_Based,2,332.55,-5.049997,5.882202,1
178,60,30,Footstep,3D_Based,2,303.55,-335.85,4.268433,1
