No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,150,30,Footstep,3D_Based,4,143.3,-338,4.968567,0
2,150,30,Footstep,DL_Based,4,202.8,-338.9,6.349121,1
3,0,0,Footstep,Generic,1,5.649999,-0.5999992,4.293945,1
4,120,0,PinkNoise,DL_Based,4,111.85,-335.25,4.595428,0
5,0,0,Footstep,Generic,3,4.050011,-359.35,7.796783,0
6,60,30,Footstep,Generic,1,72.64999,-331.15,7.055176,0
7,180,0,PinkNoise,DL_Based,3,181.35,-338,10.91183,0
8,30,0,PinkNoise,DL_Based,2,29.8,-339.15,6.29541,0
9,180,0,PinkNoise,Generic,4,182.95,-359.95,6.389374,0
10,0,0,Footstep,3D_Based,2,358.8,-1.450002,8.243073,0
11,90,0,Footstep,DL_Based,2,89.95,-337.25,6.28241,0
12,30,0,Footstep,DL_Based,3,31.69998,-358.75,6.915619,0
13,30,0,PinkNoise,3D_Based,4,326.35,-338.6,10.95786,1
14,60,0,PinkNoise,DL_Based,1,291.5,-338.1,14.59222,1
15,0,30,PinkNoise,DL_Based,4,7.150005,-337.25,8.855682,1
16,0,30,PinkNoise,3D_Based,1,357.25,-4.50001,4.029114,1
17,150,0,Footstep,3D_Based,2,212.95,-2,5.001923,1
18,180,0,PinkNoise,Generic,3,186.1,-338.55,13.41846,1
19,90,0,Footstep,Generic,3,281.65,-0.3999998,6.20166,1
20,90,0,PinkNoise,DL_Based,2,94.30002,-334.5,11.12488,0
21,90,30,Footstep,Generic,1,95.10003,-336.55,6.189026,0
22,0,0,Footstep,3D_Based,1,3.199994,-1.600001,7.655396,0
23,60,0,PinkNoise,Generic,2,60.60002,-0.8999935,9.111023,0
24,30,0,PinkNoise,DL_Based,4,323.1,-338.55,10.07043,1
25,150,0,Footstep,3D_Based,4,208.8,-359.5,7.296082,1
26,120,30,PinkNoise,3D_Based,4,245.95,-336.15,7.749146,1
27,150,30,PinkNoise,3D_Based,3,151.75,-340.05,3.855225,0
28,90,30,Footstep,Generic,2,95.35004,-338.9,11.05707,0
29,30,30,PinkNoise,DL_Based,2,320.05,-331.85,7.763306,1
30,60,0,Footstep,3D_Based,3,55.85,-0.2499975,5.909058,0
31,0,0,PinkNoise,3D_Based,1,359.8,-359.5,7.469543,0
32,30,0,PinkNoise,3D_Based,3,28.75001,-357.85,4.681702,0
33,30,30,PinkNoise,Generic,2,41.05,-335.8,7.656128,0
34,90,30,PinkNoise,Generic,1,278.1,-338.95,6.455933,1
35,120,0,Footstep,DL_Based,3,118.4,-359.75,8.068726,0
36,0,0,PinkNoise,3D_Based,2,1.94999,-335.3,11.68542,0
37,120,0,PinkNoise,3D_Based,1,227,-0.2999848,17.8869,1
38,150,0,PinkNoise,DL_Based,2,203.15,-339,6.095276,1
39,120,30,PinkNoise,Generic,3,128.3,-336.75,8.069946,0
40,90,30,Footstep,3D_Based,3,75.65002,-334.9,7.549316,0
41,150,30,Footstep,3D_Based,2,145.5,-337.2,6.002625,0
42,0,30,Footstep,DL_Based,2,356.95,-333.75,20.42023,0
43,180,30,PinkNoise,DL_Based,4,180.5,-335.65,8.790833,0
44,0,30,Footstep,3D_Based,2,4.099982,-337.95,7.069275,0
45,30,30,PinkNoise,3D_Based,2,23.45001,-335.5,7.096069,0
