No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,30,0,Footstep,Generic,4,26.30001,-359.5,3.274284,0
2,90,0,PinkNoise,3D_Based,3,113.25,-0.9000005,2.654701,0
3,120,0,PinkNoise,3D_Based,2,126.15,-1.499982,4.187996,0
4,120,30,PinkNoise,DL_Based,3,110.3999,-349.2,3.507339,0
5,120,0,Footstep,DL_Based,2,238.5,-2,3.214569,1
6,60,30,Footstep,DL_Based,2,63.24999,-357.55,3.454773,0
7,90,0,PinkNoise,3D_Based,2,288.7,-3.45,6.10994,1
8,0,30,PinkNoise,DL_Based,2,357.3,-1.1,11.19106,1
9,30,30,PinkNoise,DL_Based,3,35.99995,-359.7,6.122391,0
10,150,0,PinkNoise,Generic,4,163.85,-0.09999942,4.108215,0
11,120,30,PinkNoise,Generic,1,233.65,-330.5,4.121674,1
12,150,30,Footstep,3D_Based,3,217.1,-1.999996,6.642548,1
13,150,0,PinkNoise,DL_Based,4,164.3,-1.950001,4.548431,0
14,60,30,PinkNoise,Generic,1,319.9,-346.4,4.841049,1
15,90,0,Footstep,Generic,1,88.40004,-1.549999,5.683075,0
16,180,30,PinkNoise,3D_Based,1,178.8,-358.4,16.92656,0
17,30,0,Footstep,DL_Based,1,26.85002,-359.4,4.001602,0
18,120,30,Footstep,DL_Based,3,224.9,-355.7,4.134415,1
19,60,0,Footstep,Generic,1,286.3,-345.15,4.334503,1
20,180,30,Footstep,3D_Based,4,193.55,-359.45,7.644073,1
21,120,30,PinkNoise,Generic,2,261.45,-355.45,3.694702,1
22,0,30,Footstep,DL_Based,2,-1.062817E-06,-1.85,3.6147,1
23,30,30,Footstep,3D_Based,2,41.80001,-359.6,3.707901,0
24,180,0,PinkNoise,Generic,2,353.65,-359.45,3.081497,0
25,30,30,Footstep,DL_Based,1,24.94999,-358.5,4.334442,0
26,60,0,Footstep,DL_Based,1,300.95,-0.4999974,7.203293,1
27,180,30,PinkNoise,3D_Based,4,191.8,-333,6.789307,1
28,60,0,Footstep,DL_Based,4,305.75,-357.55,5.842255,1
29,120,0,Footstep,Generic,4,247.35,-0.7999994,5.215332,1
