No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,180,30,Footstep,3D_Based,4,179.75,-334.85,2.314392,0
2,60,0,PinkNoise,3D_Based,3,55.49997,-337.55,4.281555,0
3,30,0,PinkNoise,DL_Based,1,26.99999,-356.6,3.600403,0
4,30,0,PinkNoise,3D_Based,3,24.24999,-356,3.28186,0
5,60,0,PinkNoise,3D_Based,4,56.7,-358.4,2.747131,0
6,180,0,PinkNoise,Generic,4,180.65,-4.150005,3.735779,0
7,30,30,Footstep,3D_Based,1,25.85001,-355.1,5.255432,0
8,150,0,PinkNoise,DL_Based,3,215.5,-358.35,5.627991,1
9,60,30,PinkNoise,Generic,2,68.25001,-358.1,7.163635,0
10,150,30,Footstep,3D_Based,1,208.15,-359.25,6.949402,1
11,90,30,Footstep,DL_Based,1,88.45,-349.3,4.988525,0
12,150,0,Footstep,Generic,2,210.95,-352.65,6.415894,1
13,0,0,PinkNoise,DL_Based,4,3.049965,-357.55,10.31067,1
14,0,0,PinkNoise,DL_Based,1,0.1499908,-337.2,8.910156,1
15,180,0,Footstep,Generic,2,180.2,-351.25,6.201599,1
16,90,0,PinkNoise,Generic,1,89.80003,-357.6,9.57782,0
17,150,30,Footstep,3D_Based,3,150.4001,-334.9,10.6441,0
18,30,0,PinkNoise,DL_Based,2,330.45,-359.3,9.430359,1
19,90,30,Footstep,Generic,1,101.25,-1.200002,5.708862,0
20,60,0,PinkNoise,3D_Based,2,63.35,-358.6,8.309937,0
21,0,0,Footstep,Generic,2,9.1,-359.2,7.776367,0
22,90,0,Footstep,3D_Based,4,85.45002,-359.85,10.23071,0
23,120,30,PinkNoise,3D_Based,2,118.25,-333.7,7.562866,0
24,90,0,PinkNoise,3D_Based,4,270.1,-0.9500222,7.549561,1
25,90,30,PinkNoise,DL_Based,2,285.05,-335.55,11.15009,1
26,60,0,Footstep,Generic,1,314.9,-358.15,7.910645,1
27,90,30,PinkNoise,Generic,2,283.05,-0.4500089,10.21735,1
28,180,30,PinkNoise,DL_Based,2,181.9,-334.7,9.550232,1
29,0,30,PinkNoise,3D_Based,3,355.4,-336.85,13.84546,1
30,120,0,Footstep,Generic,2,246.3499,1.739711E-06,9.136902,1
31,150,30,PinkNoise,DL_Based,1,152.45,-359.4,26.36951,0
32,150,0,PinkNoise,3D_Based,2,140.95,-0.4999972,6.630005,0
33,180,30,Footstep,DL_Based,3,193.8499,-359.25,14.08551,0
34,150,30,Footstep,Generic,3,158.85,-0.8499953,18.47308,0
35,30,0,PinkNoise,DL_Based,3,324.75,-359.35,7.629395,1
36,180,0,PinkNoise,DL_Based,2,174.65,-0.4000055,6.122742,1
37,180,0,Footstep,Generic,1,181.95,-358.6,6.40271,1
38,180,30,PinkNoise,3D_Based,2,183.6,-359.6,18.96777,1
39,60,0,PinkNoise,DL_Based,4,301.25,-0.65,6.282471,1
40,120,0,Footstep,3D_Based,4,239.95,-359,6.748352,1
41,60,30,PinkNoise,3D_Based,1,299.75,-335.6,15.74036,1
42,180,30,PinkNoise,Generic,1,185.0001,-358.6,22.9823,1
43,120,30,PinkNoise,DL_Based,3,232.25,-359.05,16.25952,1
44,0,0,PinkNoise,Generic,2,1.649993,-359.8,10.7644,1
45,120,0,PinkNoise,Generic,2,131.95,-358.8,6.775879,0
46,0,30,PinkNoise,DL_Based,2,1.99998,-0.9999988,13.61853,0
