No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,30,30,PinkNoise,Generic,3,140.25,-354.75,12.05141,0
2,30,30,PinkNoise,DL_Based,4,32.5999,-313.4,43.35014,0
3,120,30,Footstep,DL_Based,4,121.6001,-359.75,23.58253,0
4,90,0,Footstep,Generic,1,271.45,-2.000002,11.61766,1
5,90,30,Footstep,DL_Based,1,329.5,-3,31.8656,1
6,60,30,PinkNoise,3D_Based,1,309.25,-309.2,18.16733,1
7,150,30,Footstep,3D_Based,3,220.45,-335.45,12.43137,1
8,120,0,Footstep,3D_Based,3,124.55,-334.15,18.40729,0
9,150,0,PinkNoise,3D_Based,4,148.2,-1.69999,11.69791,0
10,120,30,PinkNoise,DL_Based,2,237.95,-336.9,18.63394,1
11,120,0,Footstep,DL_Based,2,246.5,-346.65,22.32767,1
12,150,0,PinkNoise,DL_Based,4,159.8,-4.099998,15.16687,0
13,0,30,Footstep,Generic,1,7.350079,-333.35,30.43845,0
14,60,30,Footstep,Generic,2,73.49998,-337.75,10.73749,0
15,90,0,PinkNoise,3D_Based,4,101.2499,-358.25,18.55389,0
16,0,30,PinkNoise,DL_Based,3,349,-322.3,15.09927,0
17,150,0,PinkNoise,3D_Based,3,207.95,-358.5,9.083557,1
18,0,0,Footstep,Generic,3,1.1,-354.15,9.336517,1
19,180,30,Footstep,DL_Based,4,172.9,-341.65,17.96735,1
20,90,30,Footstep,DL_Based,2,86.94999,-16.25002,15.27264,0
21,60,30,Footstep,3D_Based,4,310.05,-313,20.7948,1
22,90,0,Footstep,3D_Based,3,276.85,-342.25,19.51416,1
23,0,0,PinkNoise,DL_Based,3,3.85005,-332.5,18.14038,1
24,0,30,PinkNoise,Generic,4,7.800003,-334.25,6.055725,1
25,180,0,Footstep,Generic,2,176.45,-336.05,19.16742,1
26,30,0,PinkNoise,DL_Based,2,332.15,-1.549988,15.29926,1
27,30,30,Footstep,DL_Based,1,42.44999,-345.8,8.816772,0
28,120,30,PinkNoise,DL_Based,4,118.1,-333.4,13.07117,0
29,60,30,Footstep,3D_Based,2,309.2499,-354.15,8.789734,1
