No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,180,30,Footstep,3D_Based,3,151.7,-1.7,9.289291,0
2,120,30,Footstep,DL_Based,4,117.35,-337.2,6.029694,0
3,30,30,PinkNoise,3D_Based,3,327.8,-336.4,6.389252,1
4,150,30,Footstep,DL_Based,3,142.95,-0.5,6.642792,0
5,120,30,Footstep,Generic,4,244.15,-335.25,10.61754,1
6,30,30,PinkNoise,DL_Based,2,335.55,-336.5,5.72226,1
7,120,30,PinkNoise,DL_Based,2,232.45,-335.75,7.068756,1
8,0,0,PinkNoise,DL_Based,1,11.2,-1.3,5.29599,1
9,60,30,PinkNoise,3D_Based,3,298.4,-0.8000048,6.082275,1
10,0,30,PinkNoise,Generic,3,11.55002,-336.1,7.016159,1
11,180,0,PinkNoise,DL_Based,2,179.7,-338,9.45694,1
12,90,30,PinkNoise,DL_Based,2,89.80005,-359.35,10.51085,0
13,0,0,Footstep,3D_Based,1,355.4,-0.2500003,13.23157,0
14,0,30,PinkNoise,Generic,1,0.5999718,-0.5499904,9.389511,0
15,60,30,PinkNoise,3D_Based,2,59.30003,-0.3,5.323135,0
16,180,30,PinkNoise,3D_Based,2,189.5,-358.6,11.19086,0
17,30,30,Footstep,DL_Based,2,29.24998,-336.75,18.20709,0
18,30,0,Footstep,Generic,3,35.05,-2.500001,4.601776,0
19,30,0,Footstep,Generic,1,35.24998,-0.5000007,10.12396,0
20,90,30,Footstep,DL_Based,1,273.3,-335.85,4.774658,1
21,0,0,Footstep,Generic,4,5.499987,-358.5,12.95218,1
22,150,30,Footstep,3D_Based,2,214.85,-0.6500005,5.588867,1
23,60,30,Footstep,Generic,3,71.7,-339,8.18985,0
24,150,0,Footstep,Generic,1,152.75,-1.3,6.095703,0
25,60,30,Footstep,DL_Based,4,69.75,-337.45,7.402863,0
26,90,30,Footstep,3D_Based,2,267.4,-0.8499999,4.775238,1
27,30,0,Footstep,3D_Based,3,318.15,-1.1,12.32483,1
28,30,0,PinkNoise,DL_Based,2,38.99999,-334.95,7.388489,0
29,180,0,PinkNoise,DL_Based,3,181.55,-333.8,7.64389,0
30,90,0,PinkNoise,3D_Based,2,95.79998,-359.7,3.65448,0
31,180,0,Footstep,DL_Based,2,181.5,-3.299998,6.015533,0
32,90,0,PinkNoise,DL_Based,4,96.54993,-334.8,19.6749,0
33,90,30,PinkNoise,Generic,1,278.35,-335.25,5.387665,1
34,0,0,PinkNoise,DL_Based,3,0.6500042,-335.5,14.15314,1
35,30,30,PinkNoise,Generic,2,47.6,-335.1,4.295105,0
36,0,30,Footstep,3D_Based,1,6.949985,-359.05,7.61618,0
37,60,30,PinkNoise,DL_Based,2,293.8,-334.45,8.203217,1
