No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,120,30,PinkNoise,Generic,3,122.35,-358,10.56628,0
2,60,0,PinkNoise,Generic,3,57.3,-1.899993,10.77621,0
3,60,0,PinkNoise,3D_Based,2,51.89998,-358.45,10.80043,0
4,180,0,Footstep,DL_Based,2,179.05,-359.6,13.52572,0
5,180,0,PinkNoise,3D_Based,1,174.55,-358.55,13.6886,0
6,60,30,Footstep,Generic,3,304.95,-0.04999315,12.35693,1
7,120,30,PinkNoise,Generic,4,240.8,-335,8.405518,1
8,0,30,Footstep,Generic,3,12,-337.3,8.242523,1
9,30,0,Footstep,3D_Based,1,32.05002,-336.8,20.75618,0
10,150,30,PinkNoise,DL_Based,4,211.15,-334.8,10.69505,1
11,60,0,PinkNoise,DL_Based,3,300,-358.2,10.87447,1
12,60,30,Footstep,3D_Based,3,57.59999,-359.85,16.13585,0
13,0,30,PinkNoise,DL_Based,4,10.14997,-334.6,12.9129,0
14,30,0,Footstep,3D_Based,2,332.55,-1.100004,17.27507,1
15,30,30,PinkNoise,3D_Based,1,18.1,-359.4,22.22488,0
16,0,0,PinkNoise,DL_Based,4,31.94994,-0.2499931,18.2952,0
17,180,30,PinkNoise,Generic,1,188.3,-332.8,26.18051,0
18,30,0,Footstep,3D_Based,3,27.74998,-1.100006,23.34558,0
19,60,30,Footstep,DL_Based,2,66.49999,-336.8,6.341675,0
20,150,0,Footstep,Generic,1,213.85,-0.09999343,12.44342,1
21,120,30,Footstep,Generic,3,128.55,-337,8.677063,0
22,180,30,Footstep,3D_Based,3,177.4,-335.6,13.73755,0
23,120,0,PinkNoise,3D_Based,1,116.0001,-359.85,23.87802,0
24,90,0,PinkNoise,DL_Based,1,93.70005,-340.75,12.16531,0
25,120,0,Footstep,3D_Based,4,241.2,-336.5,10.16125,1
26,90,0,Footstep,Generic,2,274.55,-0.7499852,11.27301,1
27,150,0,PinkNoise,3D_Based,3,150.3,-0.1500002,6.729156,0
28,0,30,PinkNoise,Generic,4,10.3,-335.55,8.322723,0
29,180,30,PinkNoise,DL_Based,2,178.65,-335.6,7.616669,0
30,90,30,PinkNoise,3D_Based,1,267.1,-335.75,13.69431,1
31,90,30,PinkNoise,Generic,4,267.15,-337.05,7.457855,1
32,0,0,PinkNoise,3D_Based,2,356.35,-0.09999699,15.79462,1
33,0,0,PinkNoise,Generic,3,7.950016,-359.4,13.82794,1
34,60,30,PinkNoise,3D_Based,3,66.19999,-356.7,11.38806,0
35,150,30,PinkNoise,Generic,1,162.3,-335.9,15.39221,0
36,90,30,PinkNoise,Generic,2,283.65,-359.55,7.637024,1
37,30,0,PinkNoise,Generic,4,331.25,-358.85,12.89355,1
38,30,30,PinkNoise,DL_Based,4,43.19999,-335.7,9.733887,0
39,0,0,Footstep,DL_Based,4,11.34997,-336.8,15.47699,0
40,180,30,Footstep,DL_Based,4,178.2,-332.35,6.33429,0
41,60,0,Footstep,Generic,4,66.55001,-359,5.659668,0
42,30,0,Footstep,DL_Based,4,34.05002,-359.7,11.4527,0
43,120,0,PinkNoise,Generic,3,248.8,-359.75,12.21722,1
44,0,0,Footstep,Generic,4,5.200004,-359.1,12.05939,1
45,60,30,Footstep,Generic,4,304.25,-335.25,4.951477,1
46,30,0,PinkNoise,DL_Based,2,34.90003,-337.5,7.481934,0
47,180,30,Footstep,3D_Based,1,179.45,-359.6,13.4884,0
48,30,0,PinkNoise,3D_Based,3,32.15004,-359.65,11.41071,0
49,90,30,Footstep,Generic,3,278,-334.2,9.290588,1
50,150,0,Footstep,3D_Based,1,210.9,-358.65,11.43073,1
51,90,0,PinkNoise,3D_Based,2,94.59998,-359.95,11.7179,0
52,30,0,PinkNoise,3D_Based,2,30.09999,-334.75,13.00519,0
53,120,30,Footstep,DL_Based,4,121.6,-333.8,5.597473,0
54,120,0,Footstep,DL_Based,1,247.3,-358.4,7.347412,1
55,90,0,PinkNoise,3D_Based,3,274.65,-357.45,7.012512,1
56,60,0,Footstep,Generic,2,67.55006,-358.05,8.815735,0
57,90,30,PinkNoise,3D_Based,2,86.45007,-334.9,20.50165,0
58,90,30,PinkNoise,DL_Based,1,101.2,-334.1,13.80438,0
59,60,30,PinkNoise,DL_Based,2,74.39999,-335.65,5.071228,0
60,150,30,PinkNoise,Generic,3,161.65,-359.6,15.22156,0
61,60,0,Footstep,3D_Based,1,297.5,-2.399982,13.08612,1
62,180,30,PinkNoise,Generic,3,198.15,-359.85,10.81311,1
63,150,0,Footstep,Generic,4,217.5,-359.15,5.750549,1
64,120,0,PinkNoise,3D_Based,4,117.3,-0.4000053,8.935303,0
65,180,0,PinkNoise,Generic,1,177.75,-359.2,11.11096,0
66,120,30,Footstep,Generic,4,244.8501,-334.9,15.17719,1
67,0,0,PinkNoise,Generic,1,7.600017,-359.25,11.23248,1
68,30,30,PinkNoise,3D_Based,4,23.45,-336.85,3.708435,0
69,30,30,Footstep,Generic,2,342.45,-358.4,10.44275,1
70,0,30,PinkNoise,3D_Based,3,0.8000091,-359.25,11.79041,1
71,180,30,PinkNoise,DL_Based,1,191.15,-332.75,12.21692,1
72,180,0,PinkNoise,Generic,4,193.35,-359.1,6.445923,1
73,90,0,PinkNoise,DL_Based,4,271.6,-359.85,6.176208,1
74,90,30,Footstep,Generic,2,287.5,-359.7,10.48102,1
75,0,0,Footstep,Generic,1,5.74999,-356.95,8.65802,1
76,0,0,Footstep,Generic,2,8.699992,-359.05,10.38159,1
77,60,0,Footstep,DL_Based,1,59.70005,-335.3,7.695374,0
78,60,0,PinkNoise,3D_Based,1,288,-0.6999895,18.00525,1
79,180,30,PinkNoise,Generic,4,182.3,-359.2,12.2702,1
80,180,0,PinkNoise,Generic,3,181.1,-358.35,11.42255,1
81,60,30,PinkNoise,DL_Based,1,51.15003,-336.2,9.931335,0
82,90,30,Footstep,3D_Based,3,257.55,-0.2000031,10.73804,1
83,60,30,Footstep,DL_Based,1,309.45,-334.45,10.27039,1
84,0,0,Footstep,Generic,3,356.8,-359.4,8.840942,1
85,30,30,Footstep,3D_Based,2,329.65,-0.8499984,9.388306,1
86,150,0,PinkNoise,3D_Based,2,201.5,-359.55,8.78186,1
87,90,30,Footstep,DL_Based,1,273.1,-336.5,16.12415,1
88,90,0,Footstep,Generic,4,92.44998,-359.35,11.21667,0
89,120,30,Footstep,Generic,1,123.15,-338.1,7.087769,0
90,120,30,Footstep,3D_Based,2,232.4,-0.2000072,13.31348,1
91,180,0,Footstep,DL_Based,4,186.15,-338.55,9.116455,1
92,120,30,PinkNoise,3D_Based,4,235.15,-0.6000046,7.722412,1
93,180,30,PinkNoise,3D_Based,4,182.45,-359.95,8.18811,1
94,150,30,Footstep,DL_Based,1,206.9,-358,8.527588,1
95,0,0,PinkNoise,3D_Based,1,355.95,-358.8,8.830566,1
96,150,30,Footstep,3D_Based,2,144.6,-0.5000009,8.092529,0
97,90,30,Footstep,DL_Based,4,271.2,-336.2,7.579224,1
98,120,30,PinkNoise,DL_Based,1,235.75,-358.25,13.43359,1
99,120,30,PinkNoise,3D_Based,3,229.75,-357.15,18.74976,1
100,90,0,Footstep,DL_Based,4,88.89995,-0.4500026,10.75281,0
101,90,30,PinkNoise,DL_Based,3,265.5,-336.2,6.333374,1
102,0,0,PinkNoise,DL_Based,2,352.35,-359.2,8.525024,1
103,120,30,PinkNoise,Generic,2,125.65,-337.3,16.76599,0
104,60,30,Footstep,DL_Based,3,299.55,-336.75,7.227905,1
105,120,0,PinkNoise,Generic,4,243.25,-338.05,8.73877,1
106,120,30,Footstep,3D_Based,3,119.05,-337.95,4.160767,0
107,0,0,PinkNoise,Generic,2,7.499978,9.991229E-06,13.32446,0
108,120,30,PinkNoise,Generic,1,131.7,-341.45,11.61755,0
109,120,30,PinkNoise,DL_Based,2,126.55,-335.7,7.164795,0
110,90,30,PinkNoise,DL_Based,4,103.1,-335.5,9.789185,0
111,0,0,Footstep,DL_Based,3,3.750045,-359.8,8.855835,0
112,30,0,Footstep,DL_Based,2,338.9,-335.85,9.379517,1
113,60,30,Footstep,3D_Based,1,59.95005,-0.2,11.93701,0
114,60,0,Footstep,3D_Based,2,59.89998,-0.3999983,10.85596,0
115,120,0,PinkNoise,Generic,2,250.5,-0.400001,7.697144,1
116,0,30,PinkNoise,3D_Based,1,4.300024,-358.05,10.37378,1
117,150,30,Footstep,3D_Based,4,211.55,-334.2,12.06079,1
118,180,0,Footstep,3D_Based,3,170.35,-358.75,23.46741,1
119,90,30,PinkNoise,3D_Based,4,260.25,-338.3,12.55835,1
120,30,30,Footstep,3D_Based,4,321.55,-0.6500015,7.536499,1
121,180,30,Footstep,Generic,3,358.45,-8.195639E-08,7.337524,1
122,120,30,Footstep,DL_Based,3,114,-337.5,14.19885,0
123,150,30,PinkNoise,Generic,2,160.55,-358.5,14.41797,0
124,180,0,Footstep,Generic,4,177.7,-0.5999997,19.33826,0
125,120,0,Footstep,3D_Based,3,124.55,-337.4,7.001831,0
126,180,30,Footstep,3D_Based,2,180.65,-336.55,6.793579,0
127,0,0,PinkNoise,3D_Based,4,358.15,-1.800007,19.39941,0
128,30,0,Footstep,Generic,4,339.55,-359.75,8.131836,1
129,120,0,PinkNoise,3D_Based,2,238.9,-0.7000002,9.931763,1
130,90,0,PinkNoise,Generic,2,96.85003,-357.8,6.89624,0
131,0,30,PinkNoise,3D_Based,4,346.3,-337.7,7.640259,0
132,180,0,PinkNoise,3D_Based,4,172.95,-358.75,16.80017,0
133,150,30,PinkNoise,DL_Based,1,155,-336.9,6.771118,0
134,60,0,PinkNoise,DL_Based,2,75.80003,-336.45,4.906738,0
135,0,0,Footstep,DL_Based,2,7.600027,-359.3,7.896362,0
136,180,0,PinkNoise,Generic,2,190.6499,-359.8,6.415894,0
137,30,0,Footstep,DL_Based,3,322.3501,-357.9,15.55713,1
138,180,30,Footstep,DL_Based,1,165.4,-2.05,9.560669,1
139,60,0,PinkNoise,Generic,2,300.1,-358.65,8.158936,1
140,150,0,PinkNoise,DL_Based,3,146.65,-359.55,4.700562,0
141,30,30,Footstep,3D_Based,3,25.44999,-0.8499981,10.41943,0
142,30,0,PinkNoise,Generic,2,306.65,-359.6,12.30676,1
143,180,0,Footstep,DL_Based,1,175.7,-7.919968E-06,12.23071,1
144,60,30,PinkNoise,DL_Based,4,285,-356,9.765991,1
145,180,0,Footstep,DL_Based,3,178.4,-358.65,8.898071,1
146,60,30,PinkNoise,3D_Based,1,282.3999,-336.3,17.5946,1
147,120,0,Footstep,DL_Based,3,239.6,-358.75,10.89368,1
148,180,0,PinkNoise,3D_Based,3,176.8,-359.75,6.724609,1
149,30,0,PinkNoise,DL_Based,4,18.49999,-335.45,8.867432,0
150,30,0,Footstep,3D_Based,4,25.25002,-0.8500006,10.49963,0
151,120,0,Footstep,Generic,1,244.4,-357.9,9.097046,1
152,0,30,PinkNoise,3D_Based,2,358.25,-333.05,9.283325,1
153,90,0,PinkNoise,DL_Based,2,270.9999,-359.4,16.08716,1
154,120,0,Footstep,Generic,4,122.5,-359.75,9.77771,0
155,180,30,Footstep,3D_Based,4,182.85,-336,7.214478,0
156,150,30,PinkNoise,Generic,4,153.35,-336.45,8.433716,0
157,180,30,Footstep,Generic,2,190.1,-336.5,10.67896,0
158,90,30,PinkNoise,Generic,3,100.25,-358.75,10.96082,0
159,150,30,Footstep,Generic,2,156.7,-359.4,17.22241,0
160,30,30,PinkNoise,DL_Based,2,335.75,-358.15,9.797607,1
161,150,0,PinkNoise,Generic,2,225.2,-356.55,9.758301,1
162,60,0,PinkNoise,3D_Based,3,56.35003,-338.55,8.668945,0
163,60,30,PinkNoise,3D_Based,2,71.85004,-359.95,11.23132,0
164,150,30,Footstep,Generic,4,217.05,-359.15,6.963257,1
165,120,0,PinkNoise,3D_Based,3,125.2,-359.85,11.67041,0
166,0,30,Footstep,Generic,4,1.499978,-335,4.765503,0
167,30,0,Footstep,Generic,3,334.4,-333.5,11.51917,1
168,0,30,Footstep,3D_Based,2,354.4,-334.65,4.444702,1
169,0,0,Footstep,3D_Based,3,355.85,-358.9,9.772705,1
170,30,30,Footstep,DL_Based,4,29.35,-335.95,4.827393,0
171,60,0,PinkNoise,DL_Based,4,62.99996,-359.5,6.314697,0
172,120,30,Footstep,DL_Based,1,118.9499,-337.7,8.793701,0
