No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,60,0,Footstep,Generic,1,60.8,-333.8,9.063492,0
2,180,30,PinkNoise,Generic,3,183.85,-334.75,19.18083,0
3,30,0,PinkNoise,3D_Based,3,10.40001,-338.6,13.96537,0
4,150,30,Footstep,Generic,2,215.55,-1.200002,8.21653,1
5,60,30,PinkNoise,3D_Based,1,44.6,-336.1,7.883102,0
6,30,0,Footstep,DL_Based,3,318,-0.7500021,9.483688,1
7,150,0,Footstep,Generic,1,146.25,-338,18.84738,0
8,60,0,Footstep,DL_Based,3,56.74999,-3.85,7.522873,0
9,60,0,Footstep,Generic,4,61.3,-359.3,6.789291,0
10,150,0,Footstep,Generic,2,213.35,-337.65,5.668884,1
11,150,30,PinkNoise,DL_Based,1,126.55,-334.9,13.87111,0
12,0,0,Footstep,3D_Based,1,357.5,-359.4,10.39165,0
13,180,30,PinkNoise,Generic,2,171.3,-333.45,9.403687,0
14,60,0,PinkNoise,3D_Based,1,58.60001,-338.85,20.86151,0
15,120,0,PinkNoise,DL_Based,1,120,-335.75,7.389511,0
16,150,0,PinkNoise,Generic,1,175.5,-1.299998,8.78949,1
17,30,30,PinkNoise,DL_Based,4,10.25001,-0.2500059,8.150116,0
18,90,0,PinkNoise,Generic,2,87.70001,-337.85,3.894104,0
19,30,30,Footstep,DL_Based,2,319.55,-338.9,4.296021,1
20,150,0,PinkNoise,DL_Based,1,224.65,-336.9,4.081604,1
21,150,0,Footstep,Generic,3,217.05,-341.85,5.722229,1
22,0,30,PinkNoise,Generic,1,334.5001,-339.85,16.20633,1
23,60,30,Footstep,Generic,3,61.34998,-335.65,7.97641,0
24,30,30,PinkNoise,DL_Based,2,13.65002,-331.55,5.201996,0
25,90,0,PinkNoise,DL_Based,4,39.44999,-333.3,4.2677,0
26,30,0,Footstep,3D_Based,2,27.24999,-337.3,6.576019,0
27,120,0,PinkNoise,Generic,3,96.2,-339.6,5.936157,0
28,0,30,Footstep,3D_Based,4,347.9,-335.85,4.295013,0
29,120,0,Footstep,3D_Based,4,249.15,-337.35,4.534332,1
30,0,0,Footstep,3D_Based,3,6.250001,-342.25,6.096436,1
31,0,30,PinkNoise,DL_Based,4,46.59997,-2.249997,8.376678,1
32,120,0,PinkNoise,3D_Based,2,110.95,-357.15,3.480408,0
33,30,0,Footstep,3D_Based,1,54.75,-336.8,3.748077,0
34,90,30,PinkNoise,3D_Based,2,34.75,-339.1,3.81543,0
35,60,0,PinkNoise,Generic,1,57.44999,-339.55,3.228241,0
36,90,30,PinkNoise,Generic,2,115.3,-338.6,8.243164,0
37,90,0,PinkNoise,Generic,1,249.8,-359.25,5.028687,1
38,120,0,Footstep,3D_Based,3,250,-0.5999988,4.001556,1
39,120,30,Footstep,3D_Based,2,214.65,-335.35,6.415619,1
40,90,30,Footstep,DL_Based,3,266.4,-333.35,3.8284,1
41,0,0,PinkNoise,Generic,4,2.150014,-334.4,3.320801,1
